Mesh ID,Generic name,Common name,Synonyms,Tree
D016171,Torsades de Pointes,Torsades de Pointes,"Pointes, Torsades de|Pointes, Torsade de|Torsades de Pointes|de Pointes, Torsades|Torsade de Pointes|de Pointes, Torsade",C14.280.067.845.940.700|C23.550.073.845.940.700|C14.280.123.875.940.700
D016180,Lentivirus Infections,Lentivirus Infections,"Infection, Lentivirus|Lentivirus Infections|Lentivirus Infection|Infections, Lentivirus",C01.925.782.815.616
D016181,Feline Acquired Immunodeficiency Syndrome,Feline Acquired Immunodeficiency Syndrome,"Feline Acquired Immuno Deficiency Syndrome|Feline Acquired Immunodeficiency Syndrome|AIDS, Feline|Feline Acquired Immune Deficiency Syndrome|Feline AIDS|Feline Acquired Immuno-Deficiency Syndrome|FAIDS",C01.925.782.815.616.350|C01.925.839.400|C22.180.350
D016182,Visna,Visna,"Encephalomyelitis, Ovine|Ovine Encephalomyelitides|Visna|Encephalomyelitides, Ovine|Ovine Encephalomyelitis|Visnas",C22.836.900|C01.925.839.900|C01.925.782.815.616.900
D016183,Murine Acquired Immunodeficiency Syndrome,Murine Acquired Immunodeficiency Syndrome,"Murine Acquired Immunodeficiency Syndrome|Murine AIDS|AIDS, Murine|MAIDS|Murine Acquired Immuno-Deficiency Syndrome|AIDSs, Murine|Murine Acquired Immuno Deficiency Syndrome|Murine Acquired Immune Deficiency Syndrome|Murine AIDSs",C01.925.782.815.650|C01.925.928.650|C22.795.650
D011051,Postpoliomyelitis Syndrome,Postpoliomyelitis Syndrome,"Post-Poliomyelitis Muscular Atrophies|Muscular Atrophy, Postpoliomyelitis|Muscular Atrophies, Postpoliomyelitis|Post-Polio Syndrome|Post-Poliomyelitis Syndrome|Postpoliomyelitis Muscular Atrophies|Post-Polio Syndromes|Muscular Atrophies, Post-Poliomyelitis|Postpoliomyelitis Muscular Atrophy|Postpoliomyelitis Syndrome|Post-Poliomyelitis Muscular Atrophy|Post Poliomyelitis Muscular Atrophy|Muscular Atrophy, Post-Poliomyelitis|Post Poliomyelitis Syndrome",C10.668.491.175.750|C10.668.864.500|C10.586.750.850.750|C10.574.827|C10.228.854.525.850.750|C10.228.228.618.750.750|C05.651.534.750|C01.207.618.750.750|C01.925.782.687.359.764.650
D016263,AIDS-Associated Nephropathy,AIDS-Associated Nephropathy,"HIV Associated Nephropathy|AIDS-Associated Nephropathies|Nephropathy, AIDS-Associated|AIDS-Associated Nephropathy|Nephropathies, HIV Related|Nephropathy, HIV-Associated|AIDS Associated Nephropathy|HIV Related Nephropathy|AIDS Nephropathy|Nephropathies, AIDS|AIDS Nephropathies|Nephropathies, HIV-Associated|HIV Related Nephropathies|Nephropathy, AIDS|HIV-Associated Nephropathies|Nephropathies, AIDS-Associated|Nephropathies, AIDS Associated|AIDS Associated Nephropathies|Human Immunodeficiency Virus Associated Nephropathy|HIV-Associated Nephropathy|Nephropathy, AIDS Associated|Nephropathy, HIV Related|Human Immunodeficiency Virus-Associated Nephropathy|HIV Associated Nephropathies|Nephropathy, HIV Associated|HIV-Related Nephropathy|Nephropathy, HIV-Related|Nephropathies, HIV Associated|Nephropathies, HIV-Related|HIV-Related Nephropathies",C01.925.782.815.616.400.050|C12.200.777.419.050|C12.050.351.968.419.050|C20.673.480.050|C12.100.937.640.400.072|C01.221.812.640.400.072|C01.778.640.400.072|C01.925.813.400.072|C01.221.250.875.050|C12.950.419.050
D007787,Milk Hypersensitivity,Milk Hypersensitivity,"Allergy, Cow's Milk|Allergy, Milk|Cow's Milk Allergy|Cow Milk Allergy|Milk Allergy|Cows Milk Allergy|Milk Hypersensitivity|Hypersensitivity, Milk|Cow's Milk Allergies|Milk Hypersensitivities|Milk Allergy, Cow's|Milk Allergies|Cow's Milk Protein Allergy",C20.543.480.370.500
D001862,Alveolar Bone Loss,Alveolar Bone Loss,"Periodontal Resorption|Periodontal Bone Loss|Alveolar Bone Atrophy|Alveolar Bone Loss|Alveolar Bone Atrophies|Bone Loss, Alveolar|Alveolar Process Atrophy|Bone Loss, Periodontal|Periodontal Resorptions|Resorption, Periodontal|Alveolar Resorption|Alveolar Process Atrophies|Bone Losses, Periodontal|Alveolar Resorptions|Resorption, Alveolar|Periodontal Bone Losses|Bone Atrophies, Alveolar|Bone Atrophy, Alveolar|Resorptions, Alveolar|Alveolar Bone Losses",C07.465.714.354.500|C05.116.264.150
D016369,Smear Layer,Smear Layer,"Layer, Smear|Smear Layer",C07.793.208.688
D016388,Tooth Loss,Tooth Loss,"Tooth Loss|Loss, Tooth",C07.793.870|C07.465.714.804
D016393,"Lymphoma, B-Cell","Lymphoma, B-Cell","B Cell Lymphoma|B-Cell Lymphoma|Lymphoma, B-Cell|Lymphoma, B Cell|Lymphomas, B-Cell|B-Cell Lymphomas",C20.683.515.761.480.150|C15.604.515.569.480.150|C04.557.386.480.150
D016399,"Lymphoma, T-Cell","Lymphoma, T-Cell","T Cell Lymphoma|T-Cell Lymphomas|Lymphoma, T Cell|Lymphoma, T-Cell|Lymphomas, T-Cell|T-Cell Lymphoma",C15.604.515.569.480.750|C04.557.386.480.750|C20.683.515.761.480.750
D016411,"Lymphoma, Large-Cell, Immunoblastic","Lymphoma, Large-Cell, Immunoblastic","Lymphoma, Large Cell, Immunoblastic|Immunoblastic Sarcoma|Immunoblastic Lymphosarcoma, Diffuse|Diffuse Immunoblastic Lymphosarcomas|Immunoblastic Large Cell Lymphoma|Lymphosarcoma, Diffuse Immunoblastic|Lymphoma, Immunoblastic, Large Cell|Diffuse Immunoblastic Lymphosarcoma|Immunoblastic Large-Cell Lymphomas|Lymphoma, Large-Cell, Immunoblastic|Lymphoma, Immunoblastic, Large-Cell|Large Cell Immunoblastic Lymphoma|Large-Cell Lymphoma, Immunoblastic|Large-Cell Immunoblastic Lymphoma|Immunoblastomas|Immunoblastic Lymphoma, Large-Cell|Immunoblastic Sarcomas|Large-Cell Lymphomas, Immunoblastic|Lymphoma, Immunoblastic Large-Cell|Lymphomas, Large-Cell Immunoblastic|Large-Cell Immunoblastic Lymphomas|Immunoblastic Lymphosarcomas, Diffuse|Immunoblastic Lymphomas, Large-Cell|Immunoblastoma|Immunoblastic Large-Cell Lymphoma|Lymphosarcomas, Diffuse Immunoblastic|Lymphomas, Immunoblastic Large-Cell|Lymphoma, Large-Cell Immunoblastic|Sarcomas, Immunoblastic|Sarcoma, Immunoblastic",C20.683.515.761.480.487|C04.557.386.480.493|C15.604.515.569.480.493
D016403,"Lymphoma, Large B-Cell, Diffuse","Lymphoma, Large B-Cell, Diffuse","Large Lymphoid Lymphoma, Diffuse|Lymphoma, Large B-Cell, Diffuse|Lymphoma, Diffuse Histiocytic|Lymphoma, Large Lymphoid, Diffuse|Diffuse Large-Cell Lymphomas|Lymphoma, Diffuse Large Cell|Lymphoma, Large Cell, Diffuse|Diffuse, Large B-Cell, Lymphoma|Lymphoma, Histiocytic|Lymphoma, Diffuse Large-Cell|Histiocytic Lymphoma|Diffuse Histiocytic Lymphomas|Lymphoma, Large-Cell, Diffuse|Lymphoma, Histiocytic, Diffuse|Histiocytic Lymphomas|Large-Cell Lymphoma, Diffuse|Histiocytic Lymphoma, Diffuse|Diffuse Histiocytic Lymphoma|Large Cell Lymphoma, Diffuse|Diffuse Large B-Cell Lymphoma|Diffuse Large B Cell Lymphoma|Diffuse Large Cell Lymphoma|Diffuse Large-Cell Lymphoma",C20.683.515.761.480.150.585|C04.557.386.480.150.585|C15.604.515.569.480.150.585
D016410,"Lymphoma, T-Cell, Cutaneous","Lymphoma, T-Cell, Cutaneous","Lymphoma, T-Cell, Cutaneous|Cutaneous T-Cell Lymphomas|Lymphomas, Cutaneous T-Cell|T-Cell Lymphoma, Cutaneous|Cutaneous T-Cell Lymphoma|T-Cell Lymphomas, Cutaneous|Slack Skin, Granulomatous|Cutaneous T Cell Lymphoma|Granulomatous Slack Skin|Lymphoma, Cutaneous T-Cell|Lymphoma, T Cell, Cutaneous|T Cell Lymphoma, Cutaneous",C04.557.386.480.750.800|C15.604.515.569.480.750.800|C20.683.515.761.480.750.800
D016411,"Lymphoma, T-Cell, Peripheral","Lymphoma, T-Cell, Peripheral","T-Cell Lymphoma, Peripheral|Lymphoma, T Cell, Peripheral|Lymphoma, T-Cell, Peripheral|T Cell Lymphoma, Peripheral|Peripheral T-Cell Lymphomas|Lymphomas, Peripheral T-Cell|T-Cell Lymphomas, Peripheral|Peripheral T Cell Lymphoma|Peripheral T-Cell Lymphoma|Lymphoma, Peripheral T-Cell",C04.557.386.480.750.825|C20.683.515.761.480.750.825|C15.604.515.569.480.750.825
D018441,Prosthesis-Related Infections,Prosthesis-Related Infections,"Prosthesis Related Infections|Prosthesis Related Infection|Related Infection, Prosthesis|Infections, Prosthesis-Related|Infection, Prosthesis Related|Prosthesis-Related Infections|Related Infections, Prosthesis|Prosthesis-Related Infection",C01.685|C23.550.767.868
D016460,Granuloma Annulare,Granuloma Annulare,Granuloma Annulare,C23.550.382.375|C17.300.200.495.380|C17.800.550.380
D016463,Sweet Syndrome,Sweet Syndrome,"Syndrome, Sweet's|Syndrome, Sweet|Gomm-Button Disease|Disease, Gomm-Button|Sweet's Syndrome|Neutrophilic Dermatosis, Acute Febrile|Sweets Syndrome|Disease, Gomm Button|Dermatosis, Neutrophilic, Febrile, Acute|Gomm Button Disease|Sweet Syndrome|Acute Febrile Neutrophilic Dermatosis",C17.800.229.800
D016464,Lysosomal Storage Diseases,Lysosomal Storage Diseases,"Lysosomal Enzyme Disorder|Lysosomal Storage Diseases|Diseases, Lysosomal Storage|Disease, Lysosomal Storage|Disorder, Lysosomal Enzyme|Enzyme Disorder, Lysosomal|Disorders, Lysosomal Enzyme|Enzyme Disorders, Lysosomal|Lysosomal Storage Disease|Lysosomal Enzyme Disorders",C18.452.648.595|C16.320.565.595
D016469,Fungemia,Fungemia,Fungemia,C23.550.470.790.500.360|C01.757.360|C01.150.703.492.594
D019446,Bacteremia,Bacteremia,Bacteremia|Bacteremias,C01.150.252.100|C01.757.100|C23.550.470.790.500.100
D010062,Ovarian Hyperstimulation Syndrome,Ovarian Hyperstimulation Syndrome,"Ovarian Hyperstimulation Syndromes|Hyperstimulation Syndrome, Ovarian|Hyperstimulation Syndromes, Ovarian|Ovarian Hyperstimulation Syndrome|Ovarian Hyperstimulation Syndrome, Familial Gestational Spontaneous",C12.050.351.500.056.630.642|C19.391.630.642|C12.100.250.056.630.642
D016472,Motor Neuron Disease,Motor Neuron Disease,"Lateral Sclerosis, Primary|Primary Lateral Scleroses|Motor Neuron Diseases|Lower Motor Neuron Disease|Secondary Motor Neuron Disease|Lateral Sclerosis|Scleroses, Primary Lateral|Motor System Disease|Lateral Scleroses, Primary|Neuron Diseases, Motor|Motor Neuron Disease, Secondary|Familial Motor Neuron Disease|Lateral Scleroses|Motor Neuron Disease, Upper|Motor Neuron Disease|Anterior Horn Cell Disease|Neuron Disease, Motor|Sclerosis, Lateral|Motor Neuron Disease, Familial|Motor System Diseases|Motor Neuron Disease, Lower|Scleroses, Lateral|Primary Lateral Sclerosis|Sclerosis, Primary Lateral|Upper Motor Neuron Disease",C10.574.562|C10.668.467
D016481,Helicobacter Infections,Helicobacter Infections,"Infection, Helicobacter|Infections, Helicobacter|Helicobacter Infections|Helicobacter Infection",C01.150.252.400.466
D016483,"Lymphoma, AIDS-Related","Lymphoma, AIDS-Related","AIDS-Related Lymphoma|AIDS Associated Lymphoma|HIV-Related Lymphomas|AIDS-Associated Lymphomas|AIDS-Associated Lymphoma|Lymphoma, HIV Related|Lymphoma, AIDS-Associated|Lymphoma, AIDS-Related|Lymphoma, AIDS Associated|AIDS-Related Lymphomas|Lymphoma, HIV-Related|Lymphomas, AIDS-Related|HIV-Related Lymphoma|HIV Related Lymphoma|Lymphomas, HIV-Related|AIDS Related Lymphoma|Lymphoma, AIDS Related|Lymphomas, AIDS-Associated",C04.557.386.480.150.450|C15.604.515.569.480.150.450|C20.683.515.761.480.150.450
D016489,"Head Injuries, Closed","Head Injuries, Closed","Closed Head Injuries|Closed Head Traumas|Injuries, Closed Head|Head Traumas, Closed|Blunt Head Injuries|Closed Head Trauma|Nonpenetrating Head Injury|Head Trauma, Closed|Head Injuries, Closed|Head Injuries, Blunt|Closed Head Injury|Blunt Head Injury|Nonpenetrating Head Injuries|Head Injury, Blunt|Head Injuries, Nonpenetrating|Head Injury, Nonpenetrating|Head Injury, Closed",C26.974.382|C26.915.300.450|C10.900.300.350
D016491,Peripheral Vascular Diseases,Peripheral Vascular Diseases,"Disease, Peripheral Vascular|Peripheral Vascular Disease|Angiopathies, Peripheral|Diseases, Peripheral Vascular|Angiopathy, Peripheral|Peripheral Vascular Diseases|Peripheral Angiopathy|Vascular Diseases, Peripheral|Peripheral Angiopathies|Vascular Disease, Peripheral",C14.907.617
D016506,"Pemphigus, Benign Familial","Pemphigus, Benign Familial","Pemphigus, Benign Familial|Familial Pemphigus, Benign|Benign Chronic Pemphigus|Hailey-Hailey Disease|Familial Benign Chronic Pemphigus|Benign Familial Pemphigus|Chronic Benign Familial Pemphigus|Hailey Hailey Disease",C16.320.850.700|C17.800.865.858|C17.800.827.700
D016510,Corneal Neovascularization,Corneal Neovascularization,"Neovascularization, Corneal|Neovascularizations, Corneal|Corneal Angiogenesis|Corneal Neovascularizations|Corneal Neovascularization|Angiogenesis, Corneal",C11.204.290|C23.550.589.500.435
D016511,Severe Combined Immunodeficiency,Severe Combined Immunodeficiency,"Syndrome, Omenn's|Lymphocyte Syndromes, Bare|Bare Lymphocyte Syndrome|Reticuloendotheliosis, Familial|Severe Combined Immunodeficiency Syndrome|Omenn Syndrome|Severe Combined Immune Deficiency|Familial Reticuloendothelioses|Severe Combined Immunodeficiency|Severe Combined Immunodeficiencies|Immunodeficiency, Severe Combined|Immunologic Deficiency, Severe Combined|Immunodeficiencies, Severe Combined|Severe Combined Immunologic Deficiency|Combined Immunodeficiencies, Severe|Lymphocyte Syndrome, Bare|Immunodeficiency Syndrome, Severe Combined|Syndrome, Bare Lymphocyte|Familial Reticuloendotheliosis|Bare Lymphocyte Syndromes|Omenns Syndrome|Syndrome, Omenn|Combined Immunodeficiency, Severe|Syndromes, Bare Lymphocyte|Reticuloendothelioses, Familial|Omenn's Syndrome",C16.614.815|C20.673.795.750|C18.452.284.800|C16.320.798.750
D016512,Ankle Injuries,Ankle Injuries,"Injuries, Syndesmotic|Injury, Syndesmotic|Sprain, Ankle|Injuries, Ankle|Ankle Injury|Ankle Sprains|Syndesmotic Injuries|Ankle Injuries|Syndesmotic Injury|Ankle Sprain|Sprains, Ankle|Injury, Ankle",C26.558.100
D025581,Neurofibromatosis 2,Neurofibromatosis 2,"Type 2 Neurofibromatoses|Acoustic Neurinoma, Bilateral|Bilateral Acoustic Neurofibromatosis|Neurofibromatosis, Central, NF 2|Neurofibromatosis II|Acoustic Neuroma, Familial|Schwannoma, Bilateral Acoustic|Central Neurofibromatoses|Type II Neurofibromatosis|Schwannomas, Bilateral Acoustic|Acoustic Neurofibromatosis, Bilateral|Neurofibromatosis, Central|Neurofibromatosis, Type II|Neurofibromatosis 2|Type 2 Neurofibromatosis|Schwannoma, Acoustic, Bilateral|Neurofibromatoses, Central NF2|Neurofibromatosis IIs|Neurofibromatoses, Type 2|Familial Acoustic Neuroma|Bilateral Acoustic Schwannoma|Bilateral Acoustic Neurofibromatoses|Neurofibromatosis, Type 2|Neurofibromatosis, Acoustic, Bilateral|Bilateral Acoustic Neurinomas|Neurofibromatosis, central type|Neurofibromatoses, Central|Acoustic Schwannoma, Bilateral|Neurofibromatoses, Type II|Type II Neurofibromatoses|Neurinoma, Bilateral Acoustic|NF2s (Neurofibromatosis 2)|Familial Acoustic Neuromas|Bilateral Acoustic Schwannomas|Neurofibromatosis, Central, NF2|Central NF2 Neurofibromatoses|Central NF2 Neurofibromatosis|Bilateral Acoustic Neurinoma|Neuroma, Familial Acoustic|Acoustic Neuromas, Familial|Neurofibromatosis, Central NF2|Neuromas, Familial Acoustic|Neurofibromatosis Type 2|Acoustic Neurinomas, Bilateral|Neuroma, Acoustic, Bilateral|Neurofibromatosis, Bilateral Acoustic|Neurofibromatoses, Bilateral Acoustic|Neurinomas, Bilateral Acoustic|Acoustic Schwannomas, Bilateral|NF2 (Neurofibromatosis 2)|Central Neurofibromatosis|Acoustic Neurofibromatoses, Bilateral|Neurofibromatosis Type II",C04.700.631.655|C09.647.675.500|C04.557.580.600.580.590.655|C04.557.465.625.650.595.610.500|C10.562.600.750|C10.574.500.549.700|C09.218.807.800.675.500|C16.320.400.560.700|C16.320.700.633.655|C04.557.580.600.610.595.610.500|C10.292.910.600.500|C10.292.225.750.500
D016523,Foot Ulcer,Foot Ulcer,"Ulcer, Foot|Plantar Ulcers|Ulcer, Plantar|Ulcers, Plantar|Foot Ulcer|Foot Ulcers|Ulcers, Foot|Plantar Ulcer",C17.800.321.250|C17.800.893.592.450
D008059,Mucopolysaccharidosis II,Mucopolysaccharidosis II,"Hunter Syndrome|Iduronate 2 Sulfatase Deficiency|Hunters Syndrome|Iduronate Sulfatase Deficiency|Deficiency, Iduronate Sulfatase|Syndrome, Hunter|I2S Deficiency|Deficiency, Sulfoiduronate Sulfatase|Deficiency, I2S|Iduronate 2-Sulfatase Deficiency|Mucopolysaccharidosis Type II|Deficiency, Iduronate 2-Sulfatase|Gargoylism, Hunter Syndrome|Hunter's Syndrome|Sulfoiduronate Sulfatase Deficiency|Syndrome, Hunter's|Mucopolysaccharidosis II|Hunter Syndrome Gargoylism|Mucopolysaccharidosis 2|Mucopolysaccharidosis Type 2",C16.320.565.595.600.645|C18.452.648.202.715.645|C10.597.606.360.455.750|C16.320.322.500.750|C16.320.400.525.750|C18.452.648.595.600.645|C17.300.550.575.645|C16.320.565.202.715.645
D016534,"Cardiac Output, High","Cardiac Output, High","High Cardiac Outputs|Cardiac Output, High|High Cardiac Output|Cardiac Outputs, High",C14.280.142|C23.888.176
D001249,Bronchial Hyperreactivity,Bronchial Hyperreactivity,"Hyperreactivity, Bronchial|Hyperreactivities, Bronchial|Bronchial Hyperreactivity|Bronchial Hyperreactivities",C08.127.210
D001616,"Gangliosidosis, GM1","Gangliosidosis, GM1","Beta Galactosidase 1 Deficiency Disease|Gangliosidosis, Generalized GM1, Type III|Juvenile Gangliosidosis GM1|Type I GM1-Gangliosidosis|GM1 Gangliosidosis, Adult|beta Galactosidase 1 Deficiency|GM1 Gangliosidosis, Type III|GM1 Gangliosidosis, Type I|Beta-Galactosidosis|Gangliosidosis, Generalized GM1, Type I|Gangliosidosis, GM1|Beta Galactosidosis|GM1-Gangliosidoses, Type II|G(M1) Gangliosidosis|Gangliosidosis, Generalized GM1, Type II|GM1 Gangliosidosis|Gangliosidosis GM1 Type 3|Gangliosidosis, Generalized GM1, Type 1|Generalized Gangliosidosis|beta Galactosidase Deficiency|beta-Galactosidase-1 Deficiency|GM1-Gangliosidosis, Type I|Beta-Galactosidase-1 (GLB1) Deficiency|Gangliosidosis, Generalized GM1, Adult Type|Beta-Galactosidase-1 Deficiency Disease|Gangliosidosis, Generalized GM1, Juvenile Type|Deficiency, GLB1|Gangliosidosis GM1, Infantile|Gangliosidosis Generalized GM1, Type 1|Gangliosidosis, Generalized GM1, Infantile Form|Gangliosidosis GM1, Type 2|Gangliosidosis, Adult GM1|Deficiency, beta Galactosidase|GM1-Gangliosidoses, Type I|Deficiency, beta-Galactosidase|Gangliosidosis GM1, Adult|Deficiencies, GLB1|Gangliosidosis GM1, Type 1|Gangliosidosis GM1, Juvenile|Adult GM1 Gangliosidosis|Infantile Gangliosidosis GM1|Gangliosidosis GM1|GM1-Gangliosidosis, Type III|Gangliosidosis, Generalized GM1, Chronic Type|GM1 Gangliosidosis, Type II|GM1-Gangliosidoses, Type III|Type III GM1-Gangliosidosis|Gangliosidosis G(M1)|Gangliosidosis GM1, Type 3|GM1-Gangliosidosis, Type II|beta-Galactosidase Deficiency|Type I GM1-Gangliosidoses|Gangliosidosis, Generalized GM1 Type 2|Type II GM1-Gangliosidosis|Type 3 (Adult) GM1 Gangliosidosis|Type II GM1-Gangliosidoses|GLB1 Deficiency|Deficiency, beta-Galactosidase-1|Gangliosidosis, Generalized GM1, Type 3|Gangliosidosis, Generalized GM1, Type 2|Type III GM1-Gangliosidoses",C16.320.565.398.641.803.350.360|C16.320.565.189.435.825.300.400|C18.452.648.189.435.825.300.400|C18.452.584.563.641.803.350.360|C16.320.565.595.554.825.300.400|C10.228.140.163.100.435.825.300.400|C18.452.648.398.641.803.350.360|C18.452.648.595.554.825.300.400|C18.452.132.100.435.825.300.400
D016538,Mucopolysaccharidosis VII,Mucopolysaccharidosis VII,"Deficiencies, GUSB|beta Glucuronidase Deficiency|Mucopolysaccharidosis Type VII|Mucopolysaccharidosis Type VIIs|VIIs, Mucopolysaccharidosis|Syndrome, Sly|Disease, Sly|Sly Disease|beta-Glucuronidase Deficiencies|Mucopolysaccharidosis 7|Type VII, Mucopolysaccharidosis|Sly Syndrome|GUSB Deficiency|Deficiencies, beta-Glucuronidase|Deficiency, beta-Glucuronidase|Type VIIs, Mucopolysaccharidosis|Deficiency, GUSB|beta-Glucuronidase Deficiency|Mucopolysaccharidosis VIIs|GUSB Deficiencies|Mucopolysaccharidosis VII",C18.452.648.202.715.675|C17.300.550.575.675|C16.320.565.595.600.675|C16.320.565.202.715.675|C18.452.648.595.600.675
D016543,Central Nervous System Neoplasms,Central Nervous System Neoplasms,"Central Nervous System Tumors|Central Nervous System Neoplasm|Central Nervous System Tumor|Central Nervous System Neoplasms|Primary Central Nervous System Neoplasm|Central Nervous System Neoplasms, Primary|Neoplasms, CNS|Neoplasm, CNS|Neoplasms, Central Nervous System|CNS Neoplasm|Primary Central Nervous System Neoplasms|CNS Neoplasms|Tumors, Central Nervous System",C04.588.614.250|C10.551.240
D016545,Choroid Plexus Neoplasms,Choroid Plexus Neoplasms,"Neoplasms, Choroid Plexus|Choroid Plexus Neoplasm|Choroid Plexus Tumor|Choroid Plexus Tumors|Neoplasm, Choroid Plexus|Primary Choroid Plexus Neoplasms|Choroid Plexus Neoplasms, Primary|Choroid Plexus Neoplasms",C10.551.240.250.200.200|C04.588.614.250.195.205.200|C10.228.140.211.280.300
D016553,"Purpura, Thrombocytopenic, Idiopathic","Purpura, Thrombocytopenic, Idiopathic","Thrombocytopenic Purpuras, Idiopathic|Immune Thrombocytopenias|Purpuras, Idiopathic Thrombocytopenic|Thrombocytopenic Purpuras, Immune|Thrombocytopenic Purpura, Idiopathic|Thrombocytopenic Purpura, Autoimmune|Werlhof Disease|Autoimmune Thrombocytopenias|Disease, Werlhof's|Thrombocytopenias, Autoimmune|Thrombocytopenia, Immune|Autoimmune Thrombocytopenic Purpuras|Purpura, Autoimmune Thrombocytopenic|Purpura, Thrombocytopenic, Autoimmune|Thrombocytopenia, Autoimmune|Thrombocytopenic Purpura, Immune|Immune Thrombocytopenia|Purpuras, Immune Thrombocytopenic|Purpuras, Autoimmune Thrombocytopenic|Disease, Werlhof|Purpura, Thrombocytopenic, Idiopathic|Purpura, Immune Thrombocytopenic|Immune Thrombocytopenic Purpuras|Autoimmune Thrombocytopenic Purpura|Werlhofs Disease|Purpura, Idiopathic Thrombocytopenic|Thrombocytopenias, Immune|Idiopathic Thrombocytopenic Purpura|Immune Thrombocytopenic Purpura|Idiopathic Thrombocytopenic Purpuras|Werlhof's Disease|Autoimmune Thrombocytopenia",C20.841.600|C15.378.140.855.925.750.600|C15.378.243.937.925.750.600|C23.550.414.950.687.600|C20.111.759|C15.378.100.802.687.600|C15.378.463.740|C23.888.885.687.687.600
D016569,Blepharophimosis,Blepharophimosis,Blepharophimosis|Blepharophimoses,C11.250.090|C16.131.384.190|C11.338.190
D016575,Hidradenitis,Hidradenitis,"Hidrosadenitides|Hidradenitides|Neutrophilic Eccrine Hidradenitis|Eccrine Hidradenitis, Neutrophilic|Hidradenitides, Neutrophilic Eccrine|Hidradenitis, Neutrophilic Eccrine|Hydradenitides|Eccrine Hidradenitides, Neutrophilic|Hidrosadenitis|Neutrophilic Eccrine Hidradenitides|Hidradenitis|Hydradenitis",C17.800.946.315
D016582,"Leukemia, Feline","Leukemia, Feline","Feline Leukemias|Leukemias, Feline|Leukemia, Feline|Feline Leukemia",C01.925.782.815.622|C04.557.337.385|C15.378.508.385|C22.180.500
D016583,Enzootic Bovine Leukosis,Enzootic Bovine Leukosis,"Lymphosarcomas, Bovine|Bovine Leukemias|Leukoses, Enzootic Bovine|Leukoses, Bovine|Bovine Lymphomas|Leukosis, Bovine|Bovine Leukoses|Bovine Lymphoma|Lymphomas, Bovine|Bovine Leukoses, Enzootic|Bovine Lymphosarcoma|Bovine Lymphosarcomas|Bovine Leukosis|Leukosis, Enzootic Bovine|Lymphosarcoma, Bovine|Leukemias, Bovine|Enzootic Bovine Leukosis|Enzootic Bovine Leukoses|Bovine Leukemia|Leukemia, Bovine|Bovine Leukosis, Enzootic|Lymphoma, Bovine",C01.925.782.815.200.260|C22.196.260|C15.378.508.100|C20.673.483.260|C04.557.337.100
D016585,"Vaginosis, Bacterial","Vaginosis, Bacterial","Bacterial Vaginosis|Nonspecific Vaginitis|Bacterial Vaginitides|Vaginitides, Bacterial|Bacterial Vaginitis|Vaginitis, Nonspecific|Vaginosis, Bacterial|Vaginoses, Bacterial|Bacterial Vaginoses|Vaginitis, Bacterial",C12.100.250.894.906.800|C01.150.252.954|C12.050.351.500.894.906.800
D016586,Granular Cell Tumor,Granular Cell Tumor,"Granular Cell Myoblastoma|Cell Tumor, Granular|Granular Cell Tumors|Tumors, Granular Cell|Granular Cell Tumor|Granular Cell Myoblastomas|Cell Tumors, Granular|Cell Myoblastomas, Granular|Myoblastoma, Granular Cell|Tumor, Granular Cell|Myoblastomas, Granular Cell|Cell Myoblastoma, Granular",C04.557.450.590.350
D016602,Needlestick Injuries,Needlestick Injuries,"Sticks, Needle|Injury, Needle-Stick|Needlestick Injuries|Injuries, Needle-Stick|Needlestick|Stick, Needle|Needle-Sticks|Needle-Stick Injuries|Injury, Sharps|Needle Stick|Needlesticks|Injury, Needlestick|Sharps Injury|Needle Stick Injuries|Injuries, Needlestick|Needle-Stick Injury|Sharps Injuries|Needle Sticks|Needle-Stick|Injuries, Sharps|Needlestick Injury",C26.986.950.500
D016603,Eosinophilia-Myalgia Syndrome,Eosinophilia-Myalgia Syndrome,"Eosinophilia-Myalgia Syndrome|Syndromes, Eosinophilia-Myalgia|Eosinophilia Myalgia Syndrome|Syndrome, Eosinophilia-Myalgia|Syndrome, Eosinophilia-Myalgia, L-Tryptophan-Related|Eosinophilia-Myalgia Syndrome, L-Tryptophan-Related|L-Tryptophan-Related Eosinophilia-Myalgia Syndromes|Syndrome, L-Tryptophan-Related Eosinophilia-Myalgia|Syndromes, L-Tryptophan-Related Eosinophilia-Myalgia|Eosinophilia-Myalgia Syndromes, L-Tryptophan-Related|L-Tryptophan-Related Eosinophilia-Myalgia Syndrome|Eosinophilia-Myalgia Syndromes",C10.668.491.050|C05.651.290|C15.378.553.231.335
D006044,Thyroid Nodule,Thyroid Nodule,"Nodules, Thyroid|Nodule, Thyroid|Thyroid Nodules|Thyroid Nodule",C19.874.788.800|C04.588.443.915.800|C19.344.894.800|C04.588.322.894.800
